Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/chart/starmeter/-1,50,344,300,309,319,2413,291,2413,100.000%,.50807,1.38,0.27
/fb423e1ef94f/c3382d439950/916d943f6a58/inputs-3,50,289,287,295,300,339,280,339,64.000%,.50815,0.55,0.24
/fb423e1ef94f/c3382d439950/916d943f6a58/inputs-4,50,265,264,270,271,327,256,327,2.000%,.50824,0.55,0.24
/fb423e1ef94f/c3382d439950/916d943f6a58/mp_verify-5,50,304,292,299,311,771,284,771,96.000%,.50628,0.67,5.67
/fb423e1ef94f/c3382d439950/916d943f6a58/report-7,50,274,264,270,272,771,257,771,2.000%,.50642,0.31,0.32
/chart/starmeter/-6,50,286,276,281,282,790,266,790,2.000%,.50641,1.37,0.28
/-57,50,59,33,41,58,1206,28,1206,2.000%,.50766,0.30,0.29
/tr?fcn=IMDbNext-Client&ht=actionOnly&hr=https%3A%2F%2Fwww.imdb.com%2Fname%2Fnm0186505%2F%3Fref_%3Dtt_cst_t_1&isu=false&mid=A1EVAM02EL8SFB&ip=103.252.224.25&pa=referrer-correction&pt=chart&ref=referrer_correction&sid=138-5170172-6074708&st=1775643099531&spt=starmeter&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%3B+rv%3A149.0%29+Gecko%2F20100101+Firefox%2F149.0&pat=main&lang=en-US&cor=BD&sv=web&sc=200&sn=www.imdb.com&pi=%2Fchart%2Fstarmeter%2F&qs=ref_%3Dnm_nv_menu&rrid=814459C64D104959BC5A-60,50,37,33,40,53,116,28,116,0.000%,.50763,0.28,0.52
/?operationName=RVI_Items&variables=%7B%22count%22%3A15%2C%22locale%22%3A%22en-US%22%7D&extensions=%7B%22persistedQuery%22%3A%7B%22sha256Hash%22%3A%2232eda43bfa1053f69036b945638fc4a0ae6cc4a2429de224b3185f8b0e37717b%22%2C%22version%22%3A1%7D%7D-69,50,10,10,12,13,20,8,20,0.000%,.50796,0.35,0.44
/?operationName=NavBarFlyoutCTA&variables=%7B%22isLoggedIn%22%3Afalse%7D&extensions=%7B%22persistedQuery%22%3A%7B%22sha256Hash%22%3A%222a375844cd5537a920b43e49cdc95896542dc46aa8429e66b407bbe8a749b9c0%22%2C%22version%22%3A1%7D%7D-72,50,10,11,12,12,19,8,19,0.000%,.50796,0.35,0.43
/tr?fcn=IMDbNext-Client&ht=actionOnly&hr=https%3A%2F%2Fwww.imdb.com%2Fname%2Fnm0186505%2F%3Fref_%3Dtt_cst_t_1&isu=false&mid=A1EVAM02EL8SFB&ip=103.252.224.25&pa=referrer-correction&pt=chart&ref=referrer_correction&sid=138-5170172-6074708&st=1775643099531&spt=starmeter&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%3B+rv%3A149.0%29+Gecko%2F20100101+Firefox%2F149.0&pat=main&lang=en-US&cor=BD&sv=web&sc=200&sn=www.imdb.com&pi=%2Fchart%2Fstarmeter%2F&qs=ref_%3Dnm_nv_menu&rrid=814459C64D104959BC5A-68,50,265,266,271,271,275,258,275,0.000%,.50664,0.31,0.69
/?operationName=ChartLinks&variables=%7B%22locale%22%3A%22en-US%22%7D&extensions=%7B%22persistedQuery%22%3A%7B%22sha256Hash%22%3A%224b8efb5c74a0570df364982ef40f67135ce3ab9f0b46e4e303d701b62ee59556%22%2C%22version%22%3A1%7D%7D-70,50,35,32,38,48,91,29,91,0.000%,.50787,0.35,0.43
/?operationName=NewsSidebar&variables=%7B%22first%22%3A5%2C%22locale%22%3A%22en-US%22%7D&extensions=%7B%22persistedQuery%22%3A%7B%22sha256Hash%22%3A%22817fcd4c67eaf17c91fb80f3ac6a455401a3a75f03ef50e69b0f52b904908b1e%22%2C%22version%22%3A1%7D%7D-71,50,10,11,12,12,15,8,15,0.000%,.50797,0.35,0.44
