Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/api/_ajax/metrics/ops/-339,100,377,309,529,723,1320,285,1437,100.000%,1.00851,0.88,0.88
/-340,100,814,725,943,1257,1885,712,2696,100.000%,1.00793,45.22,0.44
/pagead/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938468~116991817~117384405&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&em=tv.1-371,100,189,158,185,447,500,137,1460,74.000%,1.02006,0.42,0.76
/pagead/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938468~116991817~117384405&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&_tu=CA&em=tv.1-374,100,70,69,76,80,94,60,97,0.000%,1.03469,0.43,0.78
/ccm/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938468~116991817~117384405&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&em=tv.1-372,100,156,111,123,479,704,102,2015,8.000%,1.03443,0.84,0.77
/ccm/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938468~116991817~117384405&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&em=tv.1-373,100,187,113,378,385,506,103,1412,30.000%,1.03448,0.84,0.77
/pagead/1p-conversion/721637365/?random=1775643182718&cv=11&fst=1775643182718&bg=ffffff&guid=ON&async=1&en=conversion&gtm=45be6461v9181659078z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115616986~115938466~115938468~116991817~117884344~118131810&u_w=1920&u_h=1080&url=https%3A%2F%2Fwww.rmit.edu.au%2F&label=JrZLCOW4pqkBEPWfjdgC&frm=0&tiba=RMIT%20University%3A%20A%20world%20leader%20in%20technology%2C%20design%20%26%20enterprise&bttype=purchase&value=0&hn=www.google.com&npa=0&pscdl=noapi&auid=1698757343.1775164957&_tu=CA&gcl_ctr=33~1~0~0&gap.last_random=1775641181221&gap.last_label=JrZLCOW4pqkBEPWfjdgC&gcp=1&sscte=1&ct_cookie_present=1&fmt=8-387,100,359,336,426,477,589,302,701,100.000%,1.03208,4.79,5.10
/pagead/1p-conversion/721637365/-389,100,172,168,194,202,245,148,265,99.000%,1.03576,2.75,3.83
/pagead/1p-conversion/721637365/-401,100,81,78,88,91,150,71,224,1.000%,1.03665,0.60,1.93
/-430,100,79,44,68,90,1049,37,2015,2.000%,1.03701,0.39,0.70
/SIE/-433,100,68,30,238,268,524,23,768,11.000%,1.03778,5.13,0.47
/ee/v1/interact?configId=8f3d8bb7-7148-45d0-86d8-87cbb537de71&requestId=cb874a7b-44b9-45e5-861a-537aef812b72-431,100,703,656,807,905,1656,629,1976,100.000%,1.03200,4.40,2.29
/canonical.html-434,100,126,113,138,173,422,96,501,8.000%,1.03836,0.30,0.31
/success.txt-437,100,56,55,61,63,70,48,74,0.000%,1.03963,0.22,0.32
/success.txt-436,100,57,56,61,62,71,48,159,1.000%,1.03945,0.22,0.32
/v1/ingest-444,100,281,254,281,301,593,231,2186,100.000%,1.03640,0.31,0.51
/v1/config/46c8c7be486445e1a4c42d1b2392d91e-443,100,157,152,160,165,332,142,450,60.000%,1.03769,0.80,0.47
/rp.gif-445,100,353,323,343,370,1323,285,1410,100.000%,1.03584,0.88,0.82
/v1/ingest-446,100,169,154,163,169,308,145,1391,72.000%,1.03794,0.80,1.87
/rb_bf37093awt?type=js3&sn=v_4_srv_3_sn_659BF036609814552B7D96E989527272_perc_100000_ol_0_mul_1_app-3Aefa175a9be6e80f9_1&svrid=3&flavor=post&vi=PAMNTUJDBCFHADLMJCMTFMIEPWRCMASM-0&modifiedSince=1773840977167&bp=3&app=efa175a9be6e80f9&crc=2147228424&en=gdlxaxje&end=1-447,100,150,144,149,156,282,141,488,8.000%,1.03797,1.07,1.28
/config/au/de196456-5f1f-4e16-b48e-eef530d462f3.js-449,100,522,460,503,799,1859,432,2109,100.000%,1.03479,0.69,0.46
/ee/irl1/v1/interact?configId=4c921b14-8244-4ba4-9da3-31a27a594da5&requestId=cf3d2d73-c326-49e8-a85c-c0c66c293092-448,100,266,259,281,311,339,242,553,100.000%,1.03731,1.20,3.75
/p-453,100,134,123,134,141,498,112,611,5.000%,1.03884,0.44,1.78
/p-455,100,249,238,275,301,483,211,596,100.000%,1.03782,0.35,1.38
/p-456,100,126,124,132,137,173,111,285,4.000%,1.03930,0.44,5.12
/rb_bf37093awt?type=js3&sn=v_4_srv_3_sn_659BF036609814552B7D96E989527272_perc_100000_ol_0_mul_1_app-3Aefa175a9be6e80f9_1&svrid=3&flavor=post&vi=PAMNTUJDBCFHADLMJCMTFMIEPWRCMASM-0&modifiedSince=1773840977167&bp=3&app=efa175a9be6e80f9&crc=2896741245&en=gdlxaxje&end=1-457,100,162,144,150,153,522,142,1482,7.000%,1.03905,1.07,2.42
/rb_bf37093awt?type=js3&sn=v_4_srv_3_sn_659BF036609814552B7D96E989527272_perc_100000_ol_0_mul_1_app-3Aefa175a9be6e80f9_1&svrid=3&flavor=post&vi=PAMNTUJDBCFHADLMJCMTFMIEPWRCMASM-0&modifiedSince=1773840977167&bp=3&app=efa175a9be6e80f9&crc=2068731899&en=gdlxaxje&end=1-458,100,186,146,155,168,1996,143,2112,16.000%,1.03902,1.07,15.89
/canonical.html-464,100,56,56,64,66,69,47,73,0.000%,1.03998,0.30,0.31
/study-with-us-459,100,274,295,358,483,1414,158,1472,100.000%,1.03878,59.03,0.51
/ee/irl1/v1/interact?configId=4c921b14-8244-4ba4-9da3-31a27a594da5&requestId=e769cdf8-00fd-447c-8d64-97ddb942485c-460,100,258,238,251,256,594,224,1505,100.000%,1.03971,1.14,2.61
/success.txt-466,100,57,56,64,67,80,48,117,0.000%,1.04175,0.22,0.33
/success.txt-467,100,60,55,63,66,87,47,466,1.000%,1.04170,0.22,0.33
/p-465,100,129,122,133,137,302,112,325,5.000%,1.04105,0.44,1.51
/rb_bf37093awt?type=js3&sn=v_4_srv_3_sn_659BF036609814552B7D96E989527272_perc_100000_ol_0_mul_1_app-3Aefa175a9be6e80f9_1&svrid=3&flavor=post&vi=PAMNTUJDBCFHADLMJCMTFMIEPWRCMASM-0&modifiedSince=1773840977167&bp=3&app=efa175a9be6e80f9&crc=1793506524&en=gdlxaxje&end=1-468,100,146,144,147,150,173,141,329,4.000%,1.04071,1.07,1.47
/pagead/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938465~115938468~116363098~116991817~117266402&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&em=tv.1-487,100,73,71,81,83,155,61,167,2.000%,1.04153,0.43,0.79
/pagead/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938465~115938468~116363098~116991817~117266402&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&_tu=CA&em=tv.1-489,100,70,69,77,80,88,63,118,0.000%,1.04158,0.43,0.79
/ccm/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938465~115938468~116363098~116991817~117266402&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&em=tv.1-488,100,111,110,120,122,124,101,125,0.000%,1.04119,0.84,0.78
/ccm/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938465~115938468~116363098~116991817~117266402&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&em=tv.1-490,100,197,113,382,395,708,102,1425,29.000%,1.04127,0.84,0.78
/pagead/1p-conversion/721637365/?random=1775643191607&cv=11&fst=1775643191607&bg=ffffff&guid=ON&async=1&en=conversion&gtm=45be6461v9181659078z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115616985~115938465~115938469~116363098~116991817~117266402&u_w=1920&u_h=1080&url=https%3A%2F%2Fwww.rmit.edu.au%2Fstudy-with-us&ref=https%3A%2F%2Fwww.rmit.edu.au%2F&label=JrZLCOW4pqkBEPWfjdgC&frm=0&tiba=Find%20a%20course%20%7C%20Study%20at%20RMIT&bttype=purchase&value=0&hn=www.google.com&npa=0&pscdl=noapi&auid=1698757343.1775164957&_tu=CA&gcl_ctr=34~1~0~0&gap.last_random=1775643182718&gap.last_label=JrZLCOW4pqkBEPWfjdgC&gcp=1&sscte=1&ct_cookie_present=1&fmt=8-507,100,261,251,282,316,398,226,597,100.000%,1.03966,4.83,5.14
/pagead/1p-conversion/721637365/-509,100,195,169,191,272,401,152,2150,100.000%,1.04038,2.78,3.87
/v1/config/46c8c7be486445e1a4c42d1b2392d91e-569,100,159,152,163,168,338,143,411,66.000%,1.04046,0.82,0.47
/ee/irl1/v1/interact?configId=8f3d8bb7-7148-45d0-86d8-87cbb537de71&requestId=c8812bba-fac3-4e52-bf0b-9a073c1508b0-540,100,261,245,256,280,390,234,1570,100.000%,1.03945,2.15,2.46
/v1/ingest-570,100,151,150,157,159,193,142,254,47.000%,1.04052,0.31,0.51
/v1/ingest-574,100,159,154,162,165,227,146,505,76.000%,1.04032,0.82,1.91
/canonical.html-578,100,61,56,62,67,160,48,408,2.000%,1.04134,0.30,0.31
/success.txt-581,100,61,56,64,67,175,48,334,2.000%,1.04131,0.22,0.33
/success.txt-580,100,69,56,64,67,474,48,634,3.000%,1.04125,0.22,0.33
/rb_bf37093awt?type=js3&sn=v_4_srv_3_sn_659BF036609814552B7D96E989527272_perc_100000_ol_0_mul_1_app-3Aefa175a9be6e80f9_1&svrid=3&flavor=post&vi=PAMNTUJDBCFHADLMJCMTFMIEPWRCMASM-0&modifiedSince=1773840977167&bp=3&app=efa175a9be6e80f9&crc=3513676589&en=gdlxaxje&end=1-576,100,176,146,160,221,437,144,2090,18.000%,1.04024,1.07,15.40
/canonical.html-583,100,56,56,62,66,69,47,74,0.000%,1.04118,0.30,0.31
/study-with-us/applying-to-rmit-577,100,208,157,350,533,656,150,989,98.000%,1.04010,36.18,0.54
/success.txt-585,100,58,56,64,67,115,48,215,1.000%,1.04118,0.22,0.33
/success.txt-584,100,57,56,63,66,104,48,147,0.000%,1.04114,0.22,0.33
/ee/irl1/v1/interact?configId=4c921b14-8244-4ba4-9da3-31a27a594da5&requestId=63cce2e9-7674-4d7b-bda5-19fc41ae063f-579,100,288,258,279,321,719,243,1585,100.000%,1.03892,1.21,3.20
/rb_bf37093awt?type=js3&sn=v_4_srv_3_sn_659BF036609814552B7D96E989527272_perc_100000_ol_0_mul_1_app-3Aefa175a9be6e80f9_1&svrid=3&flavor=post&vi=PAMNTUJDBCFHADLMJCMTFMIEPWRCMASM-0&modifiedSince=1773840977167&bp=3&app=efa175a9be6e80f9&crc=1881323627&en=gdlxaxje&end=1-586,100,150,144,149,156,333,142,486,9.000%,1.04007,1.07,1.51
/canonical.html-605,100,57,56,63,65,73,47,102,0.000%,1.04094,0.30,0.31
/pagead/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115616986~115938465~115938468~116991816&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&em=tv.1-601,100,69,68,74,84,96,61,111,0.000%,1.04075,0.43,0.77
/pagead/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115616986~115938465~115938468~116991816&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&_tu=KA&em=tv.1-604,100,89,69,77,79,101,60,1981,1.000%,1.04065,0.43,0.78
/ccm/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115616986~115938465~115938468~116991816&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&em=tv.1-600,100,114,111,120,126,186,103,201,2.000%,1.04014,0.84,0.77
/success.txt-608,100,64,57,64,71,305,47,407,3.000%,1.04070,0.22,0.33
/success.txt-607,100,59,56,63,66,168,47,185,2.000%,1.04063,0.22,0.33
/ccm/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115616986~115938465~115938468~116991816&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&em=tv.1-606,100,146,113,257,265,279,102,281,29.000%,1.03931,0.84,0.77
/pagead/1p-conversion/721637365/?random=1775643198320&cv=11&fst=1775643198320&bg=ffffff&guid=ON&async=1&en=conversion&gtm=45be6461v9181659078z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115616985~115938465~115938469~116991816~117884344&u_w=1920&u_h=1080&url=https%3A%2F%2Fwww.rmit.edu.au%2Fstudy-with-us%2Fapplying-to-rmit&ref=https%3A%2F%2Fwww.rmit.edu.au%2Fstudy-with-us&label=JrZLCOW4pqkBEPWfjdgC&frm=0&tiba=Applying%20to%20RMIT%20-%20RMIT%20University&bttype=purchase&value=0&hn=www.google.com&npa=0&pscdl=noapi&auid=1698757343.1775164957&_tu=CA&gcl_ctr=35~1~0~0&gap.last_random=1775643191607&gap.last_label=JrZLCOW4pqkBEPWfjdgC&gcp=1&sscte=1&ct_cookie_present=1&fmt=8-623,100,276,247,288,358,414,222,2218,100.000%,1.03755,4.87,5.20
/pagead/1p-conversion/721637365/-627,100,208,168,199,521,747,150,1512,99.000%,1.03818,2.79,3.90
/pagead/1p-conversion/721637365/-637,100,86,77,92,100,298,70,447,4.000%,1.03917,0.61,1.96
